,No.,Activity / Attraction,Category,Postcode,District/Borough,City,Latitude,Longitude,Cat1,Cat2,Popularity
185,186,Simon Greenall,historic:memorial,OX4 1LS,East Oxford,Oxford,51.7503177,-1.2249099,historic,memorial,3
186,187,Nizami Ganjavi Library,amenity:library,OX1 2LE,City Centre,Oxford,51.7557749,-1.2609583,amenity,library,5
187,188,Revd W. A. Spooner,historic:memorial,OX1 3NP,City Centre,Oxford,51.7597573,-1.2581654,historic,memorial,5
188,189,James Legge,historic:memorial,OX1 3NP,City Centre,Oxford,51.7595682,-1.2589205,historic,memorial,3
189,190,The New Space,amenity:theatre,OX1 3TZ,City Centre,Oxford,51.7566007,-1.2525143,amenity,theatre,3
190,191,Jubilee Bridge,historic:memorial,OX4 1DY,City Centre,Oxford,51.7475206,-1.2486438,historic,memorial,2
191,192,Oxford Judo,leisure:sports_centre,OX4 1EQ,East Oxford,Oxford,51.7452443,-1.244194,leisure,sports_centre,1
192,193,Jiu-Jitsu Republic,leisure:sports_centre,OX1 4NA,South Oxford,Oxford,51.7449792,-1.2604678,leisure,sports_centre,5
193,194,ST Lee Gallery and Treasury,tourism:museum,OX1 3BG,City Centre,Oxford,51.755189,-1.2552135,tourism,museum,5
194,195,Roger Bacon,historic:memorial,OX1 1NZ,City Centre,Oxford,51.7501919,-1.2606843,historic,memorial,4
195,196,Headington Quarry War Memorial,historic:memorial,OX3 8LH,Headington,Oxford,51.757611,-1.1980984,historic,memorial,2
196,197,KB Chen China Centre Library,amenity:library,OX2 6LU,North Oxford,Oxford,51.765885,-1.2625469,amenity,library,5
197,198,Oxford University Canoe and Kayaking Club,leisure:sports_centre,OX2 0NL,Oxfordshire,Oxford,51.7647604,-1.2813962,leisure,sports_centre,2
198,199,LeoQuent,shop:antiques,OX1 5AB,South Hinksey,Vale of White Horse,51.7353724,-1.2756056,shop,antiques,3
199,200,Menkind,shop:gift,OX1 1PG,City Centre,Oxford,51.7493116,-1.2611455,shop,gift,4
200,201,Godstow Abbey,tourism:information,OX2 8PN,Wolvercote,Oxford,51.7783232,-1.298945,tourism,information,1
201,202,FusionArts,amenity:arts_centre,OX1 1HH,City Centre,Oxford,51.7528436,-1.2668492,amenity,arts_centre,3
202,203,William Morris Viscount Nuffield,historic:memorial,OX1 1DQ,City Centre,Oxford,51.7480413,-1.2566345,historic,memorial,1
203,204,Cairns Library,amenity:library,OX3 9DU,Headington,Oxford,51.7642919,-1.2187118,amenity,library,1
204,205,Girdlestone Memorial Library,amenity:library,OX3 7HE,Headington,Oxford,51.7539773,-1.208969,amenity,library,5
205,206,Knowledge Centre,amenity:library,OX3 7DQ,Headington,Oxford,51.7522384,-1.2141942,amenity,library,1
206,207,Education Library,amenity:library,OX2 6PY,North Oxford,Oxford,51.7636447,-1.2559415,amenity,library,1
207,208,Japanese Library,amenity:library,OX2 6NA,North Oxford,Oxford,51.7634247,-1.2622938,amenity,library,2
208,209,Latin American Centre Library,amenity:library,OX2 6LY,North Oxford,Oxford,51.7643575,-1.2634847,amenity,library,1
209,210,Rewley House Continuing Education Library,amenity:library,OX1 2JA,City Centre,Oxford,51.7571788,-1.2618774,amenity,library,3
210,211,Thomas Willis,historic:memorial,OX1 4ET,City Centre,Oxford,51.7513765,-1.2523954,historic,memorial,3
211,212,Henry Marten,historic:memorial,OX1 4ET,City Centre,Oxford,51.7513654,-1.2524447,historic,memorial,1
212,213,Kathleen Major Library,amenity:library,OX4 1DY,East Oxford,Oxford,51.7496026,-1.2451539,amenity,library,5
213,214,Wolfson College Library,amenity:library,OX2 6UD,North Oxford,Oxford,51.7707786,-1.2554449,amenity,library,2
214,215,Birthwort,historic:memorial,OX2 8PN,Wolvercote,Oxford,51.7789532,-1.299234,historic,memorial,4
215,216,Sohmen Concert Hall,amenity:theatre,OX2 6GG,City Centre,Oxford,51.7600217,-1.2635599,amenity,theatre,2
216,217,Bate Collection of Musical Instruments,tourism:museum,OX2 6HQ,City Centre,Oxford,51.7603285,-1.2638754,tourism,museum,5
217,218,John Towle Close,historic:memorial,OX1 4TZ,South Oxford,Oxford,51.7345633,-1.2529308,historic,memorial,4
218,219,The Taxonomic Beds EUDICOTS,tourism:information,OX1 4AZ,City Centre,Oxford,51.7507158,-1.2472134,tourism,information,2
219,220,"SUPER-ROSIDS, ROSIDS (FABIDS)/FABALES",tourism:information,OX1 4AZ,City Centre,Oxford,51.7506437,-1.2475083,tourism,information,4
220,221,PLANTS THAT CHANGED THE WORLD And how they were moved,tourism:information,OX1 4AZ,City Centre,Oxford,51.7506924,-1.2469477,tourism,information,1
221,222,A Greek Odyssey: Sibthorp's voyages in the footsteps of Dioscorides,tourism:information,OX1 4AZ,City Centre,Oxford,51.7505635,-1.2481087,tourism,information,1
222,223,THE BOTANY OF GIN,tourism:information,OX1 4AZ,City Centre,Oxford,51.7502132,-1.2474647,tourism,information,2
223,224,CARNIVOROUS PLANTS,tourism:information,OX1 4AZ,City Centre,Oxford,51.7507422,-1.2468755,tourism,information,5
224,225,The Taxonomic Beds/ANGIOSPERMS WITH MONOCOLPATE POLLEN/A POLLEN PUZZLE SOLVED BY DNA,tourism:information,OX1 4AZ,City Centre,Oxford,51.7508483,-1.2470935,tourism,information,3
225,226,PITCHER PLANT PARADISE,tourism:information,OX1 4AZ,City Centre,Oxford,51.7508628,-1.2466882,tourism,information,5
226,227,BASAL EUDICOTS/PROTEALES,tourism:information,OX1 4AZ,City Centre,Oxford,51.7506682,-1.2473509,tourism,information,4
227,228,Bodleian Humanities Library,amenity:library,OX2 6GG,City Centre,Oxford,51.7602715,-1.2642375,amenity,library,1
228,229,Radcliffe Infirmary,historic:memorial,OX2 6GG,City Centre,Oxford,51.7603119,-1.2623716,historic,memorial,2
229,230,Penrose Paving,tourism:information,OX2 6GG,City Centre,Oxford,51.7603985,-1.2624724,tourism,information,5
230,231,First World War Memorial,historic:memorial,OX2 6RX,North Oxford,Oxford,51.7665512,-1.2687582,historic,memorial,2
231,232,Pergamon Press Strike,historic:memorial,OX3 0BD,Headington,Oxford,51.7552601,-1.2279778,historic,memorial,4
232,233,Welcome to The Rewley Road Swing Bridge,tourism:information,OX1 2RQ,City Centre,Oxford,51.7557087,-1.2701862,tourism,information,5
233,234,Rewley Road Swing Bridge,historic:memorial,OX1 2RG,City Centre,Oxford,51.7556143,-1.2701169,historic,memorial,1
234,235,Rewley Road Swing Bridge Restoration Project,tourism:information,OX1 2RG,City Centre,Oxford,51.7556624,-1.2701645,tourism,information,5
235,236,Abel Beesley,historic:memorial,OX1 2EZ,City Centre,Oxford,51.7537836,-1.2656055,historic,memorial,1
